TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd01,Rsvd02,Rsvd03,Rsvd04
2024-02-05,2024-02-05,CM,BSE,STK,537820,INE159N01027,VIJIFIN,T,,,,,VIJI FINANCE LTD,2.53,2.55,2.33,2.54,2.55,2.45,,2.50,,,245203,588323.00,296,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537839,INE977M01024,PHOENIXTN,X,,,,,PHOENIX TOWNSHIP LTD,92.10,97.89,91.05,96.79,97.45,93.38,,96.79,,,8058,776232.00,84,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537840,INE523K01012,RAUNAQEPC,XT,,,,,Raunaq EPC International Limit,41.73,41.73,41.73,41.73,41.73,39.75,,41.73,,,565,23577.00,5,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,537985,INE463B01036,INFRONICS,X,,,,,INFRONICS SYSTEMS LTD,55.00,55.86,50.63,55.00,55.00,53.30,,55.00,,,8651,471484.00,81,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,538057,INF457M01133,CPSEETF,A,,,,,CPSE ETF,77.91,80.80,77.91,79.28,79.28,77.65,,79.21,,,1460186,116140488.00,4575,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,538081,INE493N01012,HARIAAPL,X,,,,,HARIA APPARELS LTD,5.00,5.12,5.00,5.11,5.11,5.12,,5.11,,,7048,35515.00,34,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,538092,INE574G01013,VASUPRADA,X,,,,,SHRI VASUPRADA PLANTATIONS LIM,81.01,87.55,80.10,81.44,81.44,81.01,,81.44,,,5220,438018.00,52,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,538119,INE012Q01021,RNBDENIMS,B,,,,,R&B DENIMS LTD,45.90,45.90,39.99,42.07,42.00,45.11,,42.07,,,76524,3257175.00,405,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,538180,INE204P01026,GOLDLINE,Z,,,,,GOLD LINE INTERNATIONAL FINVES,1.00,1.00,1.00,1.00,1.00,0.99,,1.00,,,712064,712064.00,1239,F1,1,,,,,
2024-02-05,2024-02-05,CM,BSE,STK,538212,INE909D01026,SHARPINV,X,,,,,SHARP INVESTMENTS LTD,0.84,0.85,0.83,0.85,0.84,0.84,,0.85,,,1275525,1069500.00,941,F1,1,,,,,
