Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,05022024,2874361421,0002392
Trade Date <05-FEB-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,50,699GS2026,GS,7100,7100,100.00
20,51,699GS2051,GS,3948,3948,100.00
20,52,706GS2028,GS,31300,31300,100.00
20,53,710GS2029,GS,318878,307493,96.43
20,54,716GS2050,GS,4,4,100.00
20,55,717GS2030,GS,83,83,100.00
20,56,718GS2033,GS,10325,9670,93.66
20,57,718GS2037,GS,350,300,85.71
20,58,719GS2060,GS,40,40,100.00
20,59,725GS2063,GS,67800,51100,75.37
20,60,726GS2029,GS,5,5,100.00
20,61,726GS2032,GS,1968,1968,100.00
20,62,726GS2033,GS,18335,18325,99.95
20,63,727GS2026,GS,1195,1195,100.00
20,64,732GS2030,GS,1300,1300,100.00
20,65,733GS2026,GS,6001,5700,94.98
20,66,736GS2052,GS,11133,11132,99.99
20,67,737GS2028,GS,3099,3099,100.00
20,68,738GS2027,GS,127350,127349,100.00
20,69,741GS2036,GS,17420,17315,99.40
20,70,746GS2073,GS,100,100,100.00
20,71,74GS2035,GS,2,1,50.00
20,72,74GS2062,GS,1043,1043,100.00
20,73,754GS2036,GS,224993,194963,86.65
20,74,758GJ26,SG,600,600,100.00
20,75,759GS2026,GS,2,1,50.00
20,76,766GJ30A,SG,200,100,50.00
20,77,772GS2025,GS,2,2,100.00
20,78,772HR33,SG,100,100,100.00
20,79,779PN36,SG,100,100,100.00
20,80,77MH33A,SG,100,100,100.00
20,81,795GS2032,GS,20,20,100.00
20,82,824GS2027,GS,232,232,100.00
20,83,826GS2027,GS,38556,38556,100.00
20,84,828GS2027,GS,300,300,100.00
20,85,82GS2025,GS,9,9,100.00
20,86,915GS2024,GS,2,1,50.00
20,87,91D020524,TB,2100,2100,100.00
20,88,91D040424,TB,4300,4300,100.00
20,89,91D070324,TB,1200,1200,100.00
20,90,91D080224,TB,700,700,100.00
20,91,91D110424,TB,7200,7200,100.00
20,92,91D140324,TB,600,600,100.00
20,93,91D150224,TB,2300,2300,100.00
20,94,91D180424,TB,1300,1300,100.00
20,95,91D210324,TB,1400,1400,100.00
20,96,91D220224,TB,2400,2400,100.00
20,97,91D250424,TB,900,900,100.00
20,98,91D280324,TB,300,300,100.00
20,99,91D290224,TB,600,600,100.00
20,100,92GS2030,GS,111,110,99.10
20,101,AARON,EQ,6212,4379,70.49
20,102,AARTECH,EQ,110071,83843,76.17
20,103,AARTIDRUGS,EQ,231120,111765,48.36
20,104,AARTIIND,EQ,1198470,569739,47.54
20,105,AARTIPHARM,EQ,100819,53247,52.81
20,106,AARTISURF,EQ,60525,29283,48.38
20,107,AARTISURF,P1,88,68,77.27
20,108,AARVEEDEN,EQ,2112528,857537,40.59
20,109,AARVI,EQ,14790,10019,67.74
20,110,AATMAJ,SM,108000,86000,79.63
20,111,AAVAS,EQ,205650,123058,59.84
20,112,ABAN,EQ,860286,542623,63.07
20,113,ABB,EQ,290961,149859,51.50
20,114,ABBOTINDIA,EQ,30098,7103,23.60
20,115,ABCAPITAL,EQ,6456507,2625873,40.67
20,116,ABCOTS,SM,8000,8000,100.00
20,117,ABFL,N0,61,40,65.57
20,118,ABFL,N2,40,40,100.00
20,119,ABFL,N4,13,13,100.00
20,120,ABFL,N5,10,10,100.00
20,121,ABFRL,EQ,4477600,1750481,39.09
20,122,ABINFRA,SM,32000,32000,100.00
